Name	Chr	Start	End	Strand
Nhp2l1	chr15	81871749	81878028	-
4930407I10Rik	chr15	81889581	81896968	+
Mei1	chr15	81900426	81957244	+
Ccdc134	chr15	81958352	81972630	+
Srebf2	chr15	81977696	82035806	+
Mir33	chr15	82028552	82028620	+
Tnfrsf13c	chr15	82052174	82054790	-
Cenpm	chr15	82064209	82075177	-
1500009C09Rik	chr15	82082827	82091183	+
Sept3	chr15	82105365	82124872	+
Wbp2nl	chr15	82129414	82144988	+
AC104325.1	chr15	82147652	82147733	+
Naga	chr15	82159962	82169256	-
Fam109b	chr15	82169372	82176173	+
1500032L24Rik	chr15	82169389	82179521	+
n-R5s41	chr15	82173083	82173201	+
Ndufa6	chr15	82180569	82184721	-
Cyp2d22	chr15	82200958	82210690	-
Cyp2d11	chr15	82219584	82224452	-
Cyp2d10	chr15	82233276	82237624	-
AC113593.1	chr15	82238888	82238973	+
Cyp2d9	chr15	82282807	82287257	+
Gm5806	chr15	82346705	82349711	+
Cyp2d12	chr15	82385538	82389843	+
Cyp2d34	chr15	82446395	82451337	-
Cyp2d37-ps	chr15	82519564	82520929	-
Cyp2d40	chr15	82590265	82594613	-
Gm5062	chr15	82608361	82612540	-
Cyp2d26	chr15	82620537	82624675	-
Tcf20	chr15	82639059	82742564	-
Mir3080	chr15	82789648	82789726	-
AW121686	chr15	82813300	82819564	+
Nfam1	chr15	82828151	82863736	-
Serhl	chr15	82919936	82947104	+
Gm17206	chr15	82932502	82936359	-
Rrp7a	chr15	82943863	82953231	-
Poldip3	chr15	82956408	82979814	-
U12	chr15	82980074	82980224	+
Cyb5r3	chr15	82983924	83003022	-
A4galt	chr15	83057156	83082204	-
Arfgap3	chr15	83130170	83180677	-
1700001L05Rik	chr15	83187990	83197707	-
Pacsin2	chr15	83206037	83295036	-
Gm5417	chr15	83236042	83236535	-
Ttll1	chr15	83314202	83341323	-
AL583889.1	chr15	83347366	83347442	+
Bik	chr15	83357292	83375065	+
Mcat	chr15	83377227	83386141	-
Tspo	chr15	83394003	83404631	+
Ttll12	chr15	83405549	83425587	-
Scube1	chr15	83433013	83555451	-
Mpped1	chr15	83609897	83688924	+
Efcab6	chr15	83697142	83895809	-
Gm15771	chr15	83860769	83861105	+
Sult4a1	chr15	83906527	83936184	-
Pnpla5	chr15	83943051	83953605	-
Pnpla3	chr15	83998246	84019942	+
Samm50	chr15	84022663	84044733	+
Parvb	chr15	84062473	84146118	+
SNORA48	chr15	84153639	84153782	-
Parvg	chr15	84154456	84173408	+
1810041L15Rik	chr15	84209635	84277527	-
Ldoc1l	chr15	84383828	84387922	-
Prr5	chr15	84500050	84534103	+
Arhgap8	chr15	84550482	84602637	+
Phf21b	chr15	84615806	84686559	-
Nup50	chr15	84753831	84773385	+
5031439G07Rik	chr15	84774366	84818981	-
Mir1249	chr15	84781956	84782053	-
Upk3a	chr15	84847571	84852990	+
Fam118a	chr15	84867492	84893258	+
Smc1b	chr15	84895121	84962387	-
Gm10923	chr15	84947259	84947720	+
Ribc2	chr15	84962529	84974999	+
Fbln1	chr15	85036379	85116965	+
Atxn10	chr15	85166768	85294266	+
U2	chr15	85181493	85181684	-
Gm4825	chr15	85341242	85341652	+
Wnt7b	chr15	85365869	85412251	-
AU022754	chr15	85411572	85424138	+
Mirlet7c-2	chr15	85537033	85537127	+
Mirlet7b	chr15	85537749	85537833	+
Ppara	chr15	85565413	85633249	+
2210021J22Rik	chr15	85637402	85642127	-
Pkdrej	chr15	85645106	85652163	-
Ttc38	chr15	85662734	85689252	+
Gtse1	chr15	85690137	85707002	+
Trmu	chr15	85709742	85727824	+
Celsr1	chr15	85729188	85864207	-
Gramd4	chr15	85888125	85968064	+
Gm15722	chr15	85918070	85920490	-
Cerk	chr15	85969558	86016571	-
7SK	chr15	85980014	85980281	+
Gm15569	chr15	86016158	86017582	+
U6	chr15	86042984	86043087	-
Tbc1d22a	chr15	86044877	86328929	+
AC142474.1	chr15	86899423	86899517	+
n-R5s42	chr15	86999543	86999646	+
Fam19a5	chr15	87374904	87589766	+
Zdhhc25	chr15	88430745	88431972	+
Brd1	chr15	88517730	88564663	-
Zbed4	chr15	88582090	88614946	+
Alg12	chr15	88635674	88649748	-
Creld2	chr15	88650076	88657111	+
U6	chr15	88665730	88665836	+
Pim3	chr15	88692616	88696150	+
RP23-455J20.1	chr15	88720210	88721955	-
Ttll8	chr15	88721063	88784848	-
Mlc1	chr15	88786314	88809437	-
Mov10l1	chr15	88813339	88885582	+
U1	chr15	88849651	88849809	+
Panx2	chr15	88890156	88903997	+
1810021B22Rik	chr15	88901626	88906282	-
Trabd	chr15	88905554	88917507	+
1300018J18Rik	chr15	88919514	88930770	+
Tubgcp6	chr15	88928787	88953517	-
Hdac10	chr15	88953737	88959130	-
Mapk12	chr15	88961015	88971133	-
Mapk11	chr15	88972916	88980036	-
Plxnb2	chr15	88985979	89011218	-
Fam116b	chr15	89012647	89026905	-
Gm17401	chr15	89041990	89045443	-
Ppp6r2	chr15	89083466	89116692	+
Sbf1	chr15	89118667	89145742	-
Adm2	chr15	89153403	89155159	+
Miox	chr15	89164829	89167446	+
Lmf2	chr15	89181435	89186090	-
Ncaph2	chr15	89186150	89203257	+
Sco2	chr15	89202113	89202880	-
Tymp	chr15	89203876	89207179	-
Odf3b	chr15	89207881	89209685	-
Klhdc7b	chr15	89217322	89219139	+
Syce3	chr15	89220605	89240934	-
Chkb	chr15	89246836	89260339	-
Cpt1b	chr15	89246836	89256294	-
C730034F03Rik	chr15	89260020	89261299	+
Gm17583	chr15	89265932	89271036	+
Mapk8ip2	chr15	89284344	89294899	+
Arsa	chr15	89302907	89307856	-
C230037L18Rik	chr15	89306667	89315278	+
Shank3	chr15	89330054	89390692	+
Gm15609	chr15	89350527	89354108	-
Acr	chr15	89398757	89405015	+
Rabl2	chr15	89412964	89422354	-
Syt10	chr15	89612824	89672291	-
AC140313.1	chr15	89719383	89719483	-
U6	chr15	89884840	89884946	-
Alg10b	chr15	90054742	90060985	+
Cpne8	chr15	90317913	90509863	-
Gm6746	chr15	90391778	90392260	+
Gm8759	chr15	90594677	90595092	-
Tcea1-ps1	chr15	90713043	90713951	+
Kif21a	chr15	90763707	90880382	-
Abcd2	chr15	90976315	91022238	-
CN725425	chr15	91062009	91091316	+
Slc2a13	chr15	91098122	91403692	-
Gm15383	chr15	91361355	91362797	-
Gm15381	chr15	91387193	91388348	-
5S_rRNA	chr15	91390102	91390214	-
4933438A12Rik	chr15	91428014	91435107	+
7SK	chr15	91447583	91447868	-
Lrrk2	chr15	91503606	91646551	+
Gm15382	chr15	91653118	91653654	+
Smgc	chr15	91668696	91691869	+
Muc19	chr15	91668757	91766819	+
Muc19	chr15	91736658	91736966	+
Cntn1	chr15	91881596	92172398	+
Gm16629	chr15	92174790	92208519	+
Pdzrn4	chr15	92227346	92602250	+
SNORD79	chr15	92342613	92342696	-
7SK	chr15	93064794	93065131	+
Gxylt1	chr15	93070173	93105610	-
Yaf2	chr15	93114709	93167366	-
U6	chr15	93175115	93175218	+
Zcrb1	chr15	93216528	93228765	-
Pphln1	chr15	93228781	93322344	+
Prickle1	chr15	93329545	93426322	-
Adamts20	chr15	94100594	94295849	-
Pus7l	chr15	94353119	94373978	-
Irak4	chr15	94374074	94412246	+
Twf1	chr15	94408382	94420320	-
Tmem117	chr15	94459616	94926528	+
SNORA17	chr15	94511686	94511817	-
SNORA17	chr15	94817438	94817569	-
Nell2	chr15	94905661	95359137	-
U6	chr15	95436993	95437096	-
Dbx2	chr15	95453994	95486391	-
Gm8849	chr15	95606185	95606663	+
Ano6	chr15	95621274	95805180	+
Gm17546	chr15	95654890	95660503	-
AC113178.1	chr15	95710147	95710248	-
D030018L15Rik	chr15	95882047	95909984	-
2610037D02Rik	chr15	95965250	96114039	-
4833422M21Rik	chr15	96062301	96085115	-
Arid2	chr15	96117949	96235894	+
AC133578.1	chr15	96235289	96235380	+
Scaf11	chr15	96242129	96291274	-
Slc38a1	chr15	96401849	96473344	-
U6	chr15	96502224	96502331	+
Slc38a2	chr15	96517825	96530129	-
Slc38a4	chr15	96825254	96886387	-
Amigo2	chr15	97074505	97077718	-
Fam113b	chr15	97077538	97216120	+
Rpap3	chr15	97505536	97536253	-
Endou	chr15	97541450	97561836	-
Rapgef3	chr15	97575201	97598403	-
Gm16257	chr15	97590839	97597392	+
Gm16256	chr15	97596980	97599144	+
Slc48a1	chr15	97614786	97623123	+
Hdac7	chr15	97623095	97674933	-
Gm17532	chr15	97645855	97647131	+
Vdr	chr15	97684856	97741061	-
7SK	chr15	97765716	97766026	+
Tmem106c	chr15	97794710	97800705	+
Col2a1	chr15	97806033	97835155	-
Senp1	chr15	97871660	97923836	-
SNORA17	chr15	97900183	97900311	+
Pfkm	chr15	97923020	97962878	+
Asb8	chr15	97965068	97996056	-
AI836003	chr15	97998237	98000565	+
Olfr288	chr15	98016444	98051408	-
Olfr287	chr15	98037402	98051487	-
Olfr286	chr15	98057106	98058074	-
H1fnt	chr15	98086413	98087738	-
Zfp641	chr15	98116019	98126561	-
Olfr285	chr15	98143020	98143979	-
Olfr284	chr15	98170453	98171370	-
Olfr283	chr15	98208527	98209628	-
Olfr282	chr15	98267901	98268828	+
Olfr281	chr15	98286743	98287822	+
Lalba	chr15	98310831	98313114	-
Olfr279	chr15	98327905	98328837	+
2310037I24Rik	chr15	98349243	98364669	-
Snora34	chr15	98350147	98350284	-
Snora2b	chr15	98356777	98356913	-
Ccnt1	chr15	98369120	98401354	-
9330020H09Rik	chr15	98397755	98400014	+
4930415O20Rik	chr15	98401452	98420010	+
Adcy6	chr15	98420425	98438064	-
Cacnb3	chr15	98462651	98474961	+
Ddx23	chr15	98475565	98493320	-
Rnd1	chr15	98493852	98507892	-
Ccdc65	chr15	98538625	98553757	+
Fkbp11	chr15	98554804	98558629	-
Arf3	chr15	98568052	98593645	-
Wnt10b	chr15	98602184	98608581	-
Wnt1	chr15	98620288	98624268	+
Ddn	chr15	98634213	98638356	-
B130046B21Rik	chr15	98637463	98646508	+
Prkag1	chr15	98643229	98661939	-
Mll2	chr15	98662100	98701614	-
Rhebl1	chr15	98708209	98711835	-
Dhh	chr15	98723462	98728971	-
Lmbr1l	chr15	98734352	98748662	-
Tuba1b	chr15	98761856	98764996	-
Tuba1a	chr15	98780272	98783982	-
4930578M01Rik	chr15	98816396	98819712	+
Gm8973	chr15	98836487	98836801	+
Tuba1c	chr15	98860322	98868536	+
Prph	chr15	98885605	98889409	+
Troap	chr15	98905006	98913783	+
C1ql4	chr15	98915117	98918248	-
Dnajc22	chr15	98923601	98935168	+
Spats2	chr15	98957009	99043637	+
SNORA40	chr15	98963498	98963603	-
7SK	chr15	99005281	99005368	-
Kcnh3	chr15	99055292	99073248	+
Mcrs1	chr15	99073249	99082392	-
AC161198.1	chr15	99085313	99085445	-
Fam186b	chr15	99101449	99117611	-
Prpf40b	chr15	99125518	99147449	+
Fmnl3	chr15	99147656	99200913	-
U6	chr15	99198460	99198566	-
Tmbim6	chr15	99223313	99240480	+
Nckap5l	chr15	99252466	99288179	-
4921518J05Rik	chr15	99258132	99265744	+
Bcdin3d	chr15	99300515	99305161	-
Faim2	chr15	99327436	99358448	-
Aqp2	chr15	99409487	99414976	+
Aqp5	chr15	99421280	99425260	+
Aqp6	chr15	99431831	99435908	+
Racgap1	chr15	99450927	99482087	-
AC139317.1	chr15	99452555	99452641	-
Accn2	chr15	99501149	99531561	+
Gm17349	chr15	99532607	99532900	-
Smarcd1	chr15	99532718	99544426	+
Gm17241	chr15	99536940	99537278	-
Gm16537	chr15	99545974	99554905	-
Gpd1	chr15	99547946	99555436	+
2310016M24Rik	chr15	99556049	99558567	+
Lass5	chr15	99563937	99603316	-
Gm17058	chr15	99596422	99612763	+
Lima1	chr15	99608901	99705859	-
U6	chr15	99633451	99633557	-
Gm4468	chr15	99640720	99641013	-
Gm17057	chr15	99649451	99665001	+
Gm9763	chr15	99728718	99728987	-
1700030F18Rik	chr15	99748779	99797378	-
U12	chr15	99767738	99767872	-
Larp4	chr15	99800505	99846782	+
Dip2b	chr15	99869095	100049904	+
Atf1	chr15	100058250	100091675	+
Tmprss12	chr15	100111257	100123484	+
Gm5474	chr15	100127542	100128062	+
Mettl7a1	chr15	100135248	100144782	+
Mettl7a3	chr15	100165360	100170772	+
RP24-73K9.3	chr15	100183580	100214395	+
Mettl7a2	chr15	100183631	100192271	+
Higd1c	chr15	100194973	100214395	+
Slc11a2	chr15	100218329	100255503	-
Gm5475	chr15	100252578	100258581	+
n-R5s43	chr15	100280115	100280224	+
5330439K02Rik	chr15	100290171	100299122	-
Letmd1	chr15	100299465	100309683	+
Csrnp2	chr15	100310001	100325670	-
Tfcp2	chr15	100333230	100382439	-
Pou6f1	chr15	100405749	100430415	-
RP23-432N1.4	chr15	100416527	100422468	+
C330013E15Rik	chr15	100444571	100445541	-
Dazap2	chr15	100446069	100451184	+
Smagp	chr15	100451773	100467296	-
Bin2	chr15	100475214	100499933	-
Cela1	chr15	100504856	100518351	-
Galnt6	chr15	100522244	100559807	-
1810009N23Rik	chr15	100526211	100535327	+
Slc4a8	chr15	100592178	100654399	+
Scn8a	chr15	100763860	100771229	+
Scn8a	chr15	100785829	100876360	+
Ankrd33	chr15	100946186	100950453	+
Acvrl1	chr15	100958953	100975767	+
Gm16031	chr15	100960347	100962023	-
Acvr1b	chr15	101004556	101043032	+
A330009N23Rik	chr15	101051627	101054552	-
Grasp	chr15	101054638	101063186	+
Nr4a1	chr15	101097277	101105223	+
9430023L20Rik	chr15	101114732	101121365	+
6030408B16Rik	chr15	101123643	101127046	+
Krt80	chr15	101177875	101200556	-
Mir1941	chr15	101199783	101199865	+
Krt7	chr15	101241474	101260744	+
Krt83	chr15	101261921	101269235	-
1700011A15Rik	chr15	101278176	101284340	+
Krt81	chr15	101289492	101294196	-
Krt86	chr15	101303909	101310414	+
5430421N21Rik	chr15	101315562	101321943	-
Krt84	chr15	101355457	101363251	-
Krt82	chr15	101371660	101381098	-
4732456N10Rik	chr15	101382787	101393381	-
Krt75	chr15	101393776	101404335	-
Gm5414	chr15	101454459	101458619	-
Krt6b	chr15	101506465	101510720	-
Krt6a	chr15	101520363	101524738	-
Krt5	chr15	101537501	101543322	-
Krt71	chr15	101564381	101573540	-
Krt74	chr15	101584690	101593935	-
Krt72-ps	chr15	101606603	101616889	-
Krt73	chr15	101623739	101632774	-
Krt2	chr15	101641120	101648600	-
Krt1	chr15	101675859	101681217	-
Krt77	chr15	101689163	101700136	-
Krt76	chr15	101714782	101723351	-
Krt4	chr15	101748967	101755166	-
Krt79	chr15	101759763	101770755	-
Krt78	chr15	101776435	101784718	-
Krt8	chr15	101827142	101834773	-
Krt18	chr15	101858647	101862457	+
Eif4b	chr15	101904204	101927603	+
Tenc1	chr15	101930909	101946832	+
Spryd3	chr15	101946776	101966665	-
Igfbp6	chr15	101974793	101979942	+
Soat2	chr15	101980957	101993905	+
Csad	chr15	102007429	102019474	-
Zfp740	chr15	102034079	102046037	+
Itgb7	chr15	102046426	102062366	-
Rarg	chr15	102065369	102087948	-
Gm9918	chr15	102100994	102104552	+
Mfsd5	chr15	102109887	102112175	+
Espl1	chr15	102126724	102154787	+
Pfdn5	chr15	102156547	102162304	+
Myg1	chr15	102162140	102168570	+
Aaas	chr15	102168678	102181190	-
Sp7	chr15	102187040	102197285	-
U6	chr15	102204311	102204414	+
Gm17671	chr15	102227862	102227948	-
Sp1	chr15	102236574	102266835	+
Amhr2	chr15	102275798	102285061	+
Gm17403	chr15	102285957	102314153	-
U6	chr15	102286994	102287092	+
Prr13	chr15	102289459	102293237	+
Pcbp2	chr15	102301063	102330490	+
Map3k12	chr15	102328080	102347495	-
Gm10337	chr15	102334153	102334317	+
Tarbp2	chr15	102348623	102354107	+
Npff	chr15	102354274	102355052	-
Atf7	chr15	102359067	102359456	-
Atf7	chr15	102364008	102455881	-
U6	chr15	102458210	102458316	-
Gm15430	chr15	102465410	102465767	+
Atp5g2	chr15	102493299	102501478	-
Mir688	chr15	102502223	102502297	-
Calcoco1	chr15	102537210	102552609	-
Gm17649	chr15	102751146	102751251	-
Hoxc13	chr15	102751534	102759245	+
Hoxc12	chr15	102767188	102769040	+
Gm16258	chr15	102774493	102778851	-
Hoxc11	chr15	102784858	102788139	+
Hoxc10	chr15	102797227	102802324	+
Gm20398	chr15	102797874	102846107	+
Mir196a-2	chr15	102803772	102803881	+
Mir196a-2	chr15	102803772	102803881	+
Hoxc9	chr15	102806870	102815530	+
Hoxc8	chr15	102821053	102824698	+
Hoxc6	chr15	102828688	102842312	+
Hoxc5	chr15	102844246	102847860	+
Mir615	chr15	102845341	102845432	+
Mir615	chr15	102845341	102845432	+
Hoxc4	chr15	102849367	102867274	+
D930007P13Rik	chr15	102953501	102977259	-
Smug1	chr15	102983738	102988383	-
Cbx5	chr15	103021975	103070247	-
Hnrnpa1	chr15	103070945	103074445	+
Nfe2	chr15	103078643	103088834	-
Copz1	chr15	103103342	103130293	+
Mir148b	chr15	103115556	103115652	+
Gpr84	chr15	103138667	103140869	-
Zfp385a	chr15	103144319	103170517	-
Itga5	chr15	103174720	103197194	-
Gtsf1	chr15	103232836	103260901	-
BC048502	chr15	103269396	103278890	-
Nckap1l	chr15	103284256	103329240	+
Pde1b	chr15	103333465	103360483	+
Ppp1r1a	chr15	103360710	103368423	-
Glycam1	chr15	103393193	103395509	-
